KOs,Astragalus sinicus1,Astragalus sinicus2,Astragalus sinicus3,Astragalus sinicus4,Melilotus officinalis1,Melilotus officinalis2,Melilotus officinalis3,Melilotus officinalis4,Vicia villosa1,Vicia villosa2,Vicia villosa3,Vicia villosa4,Pisum sativum1,Pisum sativum2,Pisum sativum3,Pisum sativum4,Trifolium incarnatum1,Trifolium incarnatum2,Trifolium incarnatum3,Trifolium incarnatum4,Medicago sativa1,Medicago sativa2,Medicago sativa3,Medicago sativa4,Fagopyrum tataricum1,Fagopyrum tataricum2,Fagopyrum tataricum3,Fagopyrum tataricum4,Brassica juncea1,Brassica juncea2,Brassica juncea3,Brassica juncea4,Cichorium intybus1,Cichorium intybus2,Cichorium intybus3,Cichorium intybus4,Lolium multiflorum1,Lolium multiflorum2,Lolium multiflorum3,Lolium multiflorum4,Triticum turgidum1,Triticum turgidum2,Triticum turgidum3,Triticum turgidum4
K00001,569.075,638.621,693.68,764.442,890.846,852.145,857.686,803.453,831.919,849.479,841.744,835.107,884.45,952.468,777.676,1004.633,720.377,703.241,722.377,841.242,653.236,694.605,651.814,784.443,848.759,815.279,845.706,660.324,540.175,603.944,626.781,829.613,687.628,593.99,632.812,577.303,847.162,884.017,899.961,954.314,945.997,1070.38,965.474,955.061
K00002,31.501,35.06,37.908,22.155,32.502,33.112,29.236,47.119,13.642,38.827,44.162,31.951,58.046,33.472,27.446,30.61,55.161,72.667,60.502,36.706,56.827,31.451,41.819,29.999,12.296,30.165,15.256,54.136,26.796,81.841,59.79,25.336,45.153,59.902,44.628,61.29,33.155,30.973,14.367,27.73,31.886,27.688,15.244,27.562
K00003,431.136,489.757,463.843,409.287,384.707,397.047,419.891,397.125,375.87,366.139,396.139,348.597,430.788,405.595,404.19,405.985,431.454,335.717,412.719,398.499,363.987,453.076,457.804,456.464,387.116,365.625,355.668,378.303,358.846,371.351,375.926,409.316,415.948,408.167,415.825,377.719,401.91,370.704,356.495,388.659,350.351,360.073,331.818,340.072
K00004,79.868,117.05,91.001,111.41,98.354,65.881,72.244,72.512,82.288,59.606,100.38,81.212,50.027,63.615,107.858,75.106,113.296,81.994,92.265,117.01,68.782,134.531,128.481,152.651,34.574,40.31,32.045,36.334,25.796,43.092,47.393,40.542,77.291,58.741,62.54,52.377,73.439,43.397,41.979,53.47,51.746,49.681,35.638,38.2
K00005,35.936,14.744,19.588,41.52,28.124,36.867,21.556,27.695,39.945,42.746,21.744,35.948,11.02,13.234,11.022,8.645,20.092,84.271,23.661,9.764,27.722,17.757,29.084,7.525,3.53,14.297,3.224,23.62,49.103,52.46,41.204,12.893,22.145,24.119,34.282,59.845,12.151,12.098,4.314,9.483,14.412,10.601,4.423,11.678
K00006,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.365,0,0,0,0,0,0,0
K00007,8.397,9.096,15.409,16.416,20.457,31.957,17.783,24.548,11.432,15.875,18.558,23.428,25.65,17.281,11.209,23.865,8.469,8.368,7.008,13.241,7.052,12.097,11.176,49.346,21.904,12.319,8.643,13.059,3.683,3.246,6.359,13.015,7.262,5.478,6.755,4.742,7.776,3.481,7.081,4.023,6.018,6.291,6.89,6.645
K00008,111.136,107.121,50.128,82.198,51.911,68.365,56.161,56.647,89.924,69.337,80.965,82.293,62.775,91.043,138.677,90.215,58.738,44.86,41.181,77.69,25.808,31.962,34.757,103.204,209.106,161.613,202.935,106.299,48.026,41.447,66.638,142.264,88.063,69.801,98.385,82.89,128.139,216.962,183.171,207.317,187.383,189.358,189.836,181.953
K00009,24.588,2.394,9.19,32.079,15.06,28.805,18.448,22.961,17.527,13.714,8.557,21.708,5.212,6.408,6.934,1.598,3.252,49.4,1.154,1.368,7.677,2.69,14.737,6.539,6.036,11.388,8.02,6.167,24.85,6.19,2.24,5.106,10.323,6.519,12.504,19.298,10.069,5.851,3.156,7.704,8.648,7.91,6.957,4.089
K00010,514.09,497.024,484.564,555.628,459.12,443.766,424.823,428.167,479.858,442.369,526.195,456.449,568.723,684.382,584.849,697.49,486.025,412.689,436.496,525.725,397.271,467.648,442.603,482.918,578.976,629.596,581.374,404.923,256.909,365.731,409.106,614.424,488.518,456.1,494.789,497.813,445.018,633.425,693.022,653.928,655.941,741.16,676.376,699.507
K00011,163.335,144.892,136.917,140.664,120.966,117.493,124.411,123.632,95.514,108.784,123.367,93.184,99.149,81.983,119.385,86.455,151.42,147.735,143.713,128.448,149.69,150.085,155.704,105.588,67.465,89.07,54.073,132.596,145.507,175.981,150.897,99.914,138.121,154.132,134.333,150.565,123.49,77.93,51.261,84.274,89.785,69.636,51.128,74.748
K00012,364.466,400.915,381.055,390.761,405.473,341.579,405.906,345.184,354.608,403.652,390.029,364.338,368.247,449.295,429.772,429.868,465.698,397.866,438.374,464.026,357.836,423.563,378.871,375.27,439.316,437.461,466.254,367.215,456.72,430.306,442.151,427.749,409.143,379.238,383.383,393.703,341.822,459.105,507.065,458.205,468.88,489.316,508.312,456.217
K00013,291.005,288.619,309.921,308.747,327.387,325.64,324.787,314.739,333.027,319.732,313.448,328.049,343.909,332.633,322.547,333.787,306.301,299.141,305.208,317.618,306.877,308.964,309.675,313.395,283.972,265.587,290.949,296.392,316.412,294.564,310.779,334.714,298.096,302.703,302.18,300.779,301.248,286.659,296.391,302.45,301.2,294.468,286.514,295.029
K00014,674.799,696.789,617.325,659.807,601.205,578.218,609.221,590.912,648.835,577.047,587.087,565.758,519.746,478.322,567.952,465.411,633.508,614.15,671.281,564.826,677.791,692.818,715.41,587.128,409.114,408.961,369.892,582.786,713.929,697.783,658.247,543.366,650.161,705.134,674.408,667.632,628.042,438.234,393.528,456.06,473.947,421.114,348.249,448.362
K00015,43.285,36.729,65.17,73.639,93.714,158.344,99.608,128.677,69.366,75.168,68.286,81.1,105.182,111.059,80.583,156.039,78.593,63.523,56.379,113.189,41.362,37.54,41.508,140.416,166.543,158.598,169.387,78.319,24.561,35.697,46.765,130.676,72.526,62.119,83.536,69.334,91.847,180.11,191.299,175.609,153.281,173.058,162.29,167.67
K00016,13.601,19.739,31.707,23.722,38.058,49.217,40.177,39.542,59.597,34.424,39.371,40.609,38.081,46.053,33.696,54.17,28.023,25.599,26.036,37.575,18.991,24.969,26.331,80.933,93.109,54.159,80.886,41.116,37.826,31.027,31.553,77.028,39.924,28.434,31.99,33.05,68.516,90.071,61.33,77.54,73.4,81.062,70.81,77.472
K00018,201.726,200.203,160.73,166.104,130.595,123.735,154.809,142.868,185.257,161.011,154.934,146.495,111.759,96.199,140.36,78.295,171.778,133.818,173.501,131.918,195.527,195.654,190.263,93.172,73.438,103.265,76.444,189.536,235.787,209.785,183.441,145.736,185.716,209.188,212.323,202.934,136.032,104.151,69.375,109.262,106.673,100.667,66.807,110.792
K00019,242.524,263.889,288.298,257.795,282.971,340.405,292.567,324.185,249.012,256.838,286.528,265.506,335.577,339.555,278.954,411.905,286.086,223.824,260.236,332.572,245.073,258.773,248.216,422.296,389.343,338.247,375.878,277.383,251.956,260.706,266.092,301.745,261.35,274.662,255.966,251.769,328.047,332.745,366.182,309.455,300.122,324.284,357.142,327.065
K00020,487.779,533.393,537.372,501.036,536.493,588.214,582.491,602.945,431.655,435.427,484.517,454.314,568.729,494.037,496.079,613.525,630.796,531.277,595.134,608.205,545.848,496.777,571.11,774.027,523.409,542.972,499.757,519.947,501.916,604.095,543.682,543.219,595.949,599.691,604.217,592.413,436.552,570.783,461.557,536.686,532.595,507.77,427.423,550.551
K00021,4.667,3.792,79.027,6.001,37.609,25.528,31.943,13.451,14.845,22.838,70.833,52.612,55.889,43.771,12.139,12.91,5.737,93.636,5.011,17.325,27.047,3.155,7.51,14.679,49.862,44.308,45.887,20.521,3.937,6.741,7.996,21.409,13.045,10.755,13.144,23.711,13,46.784,39.427,35.337,35.719,36.092,46.691,36.283
K00022,1.761,2.396,8.741,1.707,0.33,1.573,0.974,0.392,0.71,1.122,0.894,0.286,0.657,1.04,0.216,1.122,0.441,1.655,0.697,3.819,0.331,0.556,0.256,1.301,0.936,1.086,0.596,0.873,0.692,1.171,0.667,1.395,1.129,1.81,1.865,0.536,5.702,3.075,0.871,2.294,2.845,1.375,1.191,1.935
K00023,102.843,153.493,182.778,146.731,166.513,239.354,195.96,235.267,115.777,137.367,155.847,147.544,236.92,219.983,154.358,293.882,170.641,145.642,175.15,197.615,150.59,122.91,119.75,317.598,255.294,216.122,233.598,172.194,77.11,139.848,155.987,188.571,148.933,141.45,145.746,146.588,136.341,212.689,222.948,185.783,187.489,176.362,181.961,193.039
K00024,87.479,86.838,150.919,147.94,209.042,238.968,209.742,205.873,178.93,184.631,201.067,212.317,281.345,326.398,223.796,356.817,149.564,179.971,135.475,220.157,110.322,108.025,113.089,288.674,448.442,398.221,439.548,202.677,90.485,99.978,149.141,304.596,158.928,123.284,168.007,144.294,239.505,391.109,467.63,373.253,349.886,388.571,457.291,370.806
K00025,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0.795,0,0,0,0,0,0,0,0,0,0,0.413,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.337,0,0,0,0,0,0,0
K00027,49.478,28.845,44.168,65.572,38.324,60.798,69.857,59.36,69.219,43.199,43.758,62.555,28.682,50.444,49.217,45.394,29.269,27.378,18.491,37.534,33.657,28.577,31.6,44.614,192.125,137.637,196.714,93.188,52.662,34.027,46.879,123.609,88.323,63.46,98.684,70.077,59.445,197.17,142.193,176.607,158.619,169.844,176.753,152.118
K00028,0,0,0,0,0,0,0,0,0.426,0.196,0.212,0,0,0,0.218,0,0,0,0,0,0,0,0,0,0,1.204,0,1.363,0,0,0,0.679,0.247,0,0,0,0,0,0,0.42,0,0,0,0
K00029,362.664,370.255,492.734,456.18,595.902,697.416,575.241,633.136,511.434,513.368,530.834,534.186,640.735,648.613,499.874,698.374,447.11,457.616,433.797,546.669,403.602,421.118,435.159,671.553,622.887,564.005,608.779,437.58,347.577,362.201,398.115,530.915,396.722,378.577,422.586,397.599,518.075,496.601,652.759,508.646,512.31,557.354,609.243,511.836
K00030,17.703,21.488,41.183,26.418,32.524,45.244,41.137,44.33,34.287,28.844,40.073,40.497,50.839,62.224,44.01,86.95,26.119,19.025,16.397,33.697,20.317,19.874,24.646,85.841,179.671,130.091,180.93,58.633,16.072,19.667,33.508,87.101,42.438,33.889,57.89,32.287,58.488,118.059,159.853,98.387,98.145,104.176,179.045,99.201
K00031,560.692,610.818,575.476,534.724,526.653,490.963,570.187,517.238,576.873,607.501,606.437,599.427,561.218,631.233,609.974,594.089,620.492,536.539,617.029,595.563,570.49,586.894,548.639,513.977,647.409,637.15,677.773,601.661,602.732,664.368,678.682,612.481,600.437,598.239,591.894,585.886,677.672,667.508,705.384,669.784,674.493,657.805,676.684,665.461
K00032,135.886,140.838,93.159,101.855,67.376,48.995,70.367,63.635,63.854,79.256,86.4,65.539,53.668,31.848,82.795,29.872,127.015,98.163,120.964,82.679,119.97,126.654,112.315,35.873,6.739,27.581,5.019,88.657,115.317,149.959,129.668,57.441,106.823,119.339,87.555,107.047,80.893,40.305,9.976,39.005,42.182,27.41,2.043,36.248
K00033,211.228,215.919,234.183,234.829,232.191,213.01,208.955,192.21,239.812,260.993,247.84,255.209,250.695,260.247,244.802,272.832,243.618,233.943,210.794,252.959,186.979,195.231,202.793,204.226,318.427,288.806,347.711,235.827,263.655,242.399,249.417,273.989,240.043,230.692,235.084,252.99,274.475,318.844,344.364,311.234,327.248,356.467,356.956,314.793
K00034,597.789,565.572,366.054,567.327,394.397,328.973,375.491,380.89,375.267,396.459,380.27,347.984,383.087,371.323,466.265,342.359,479.807,444.719,400.981,400.323,420.707,546.405,498.932,396.82,264.798,285.843,282.09,419.888,342.078,491.785,450.107,390.209,492.015,459.069,431.536,474.975,496.201,368.747,324.332,414.896,406.132,398.514,315.046,411.217
K00035,47.798,74.384,47.829,72.974,80.203,93.623,70.651,90.127,27.999,31.483,33.755,39.855,72.652,80.305,76.374,86.027,80.718,57.197,50.306,86.712,78.015,88.621,86.079,111.008,27.756,45.139,39.838,83.524,29.969,81.875,74.531,52.856,55.176,40.008,51.076,57.166,40.648,31.603,47.241,30.376,34.307,41.668,36.722,42.27
K00036,481.592,513.507,458.193,478.318,442.318,439.992,444.394,437.502,529.005,470.348,461.848,475.537,449.773,451.681,485.459,497.082,506.96,410.187,466.899,479.983,443.814,465.049,458.661,475.045,539.129,571.905,623.653,570.473,559.537,524.877,520.052,516.74,521.927,536.086,506.147,494.852,557.826,540.104,522.023,533.504,521.102,551.483,526.019,490.542
K00038,151.324,153.978,208.506,138.043,180.269,224.035,164.474,223.127,114.719,149,155.834,156.54,162.166,163.816,170.548,201.562,213.186,158.784,237.23,226.934,143.836,151.307,174.046,341.23,173.33,155.29,169.395,131.876,75.276,135.819,144.412,170.152,168.334,161.783,154.896,144.644,151.499,177.9,180.629,186.769,171.276,167.638,166.141,184.728
K00039,8.266,6.385,14.362,8.583,14.723,14.638,14.414,16.344,15.603,19.612,39.81,23.044,24.313,36.421,24.558,39.624,20.196,16.403,17.197,27.774,8.606,7.303,10.44,30.685,13.812,11.708,13.177,7.409,3.031,6.399,8.648,13.243,9.89,6.94,9.647,6.85,9.38,17.173,10.781,15.06,13.526,20.201,13.066,14.958
K00040,50.795,65.857,48.183,100.764,88.161,109.136,55.373,88.165,72.63,55.203,65.659,66.439,62.568,75.783,78.51,89.581,64.731,115.7,33.572,71.917,32.209,82.316,94.699,116.626,38.804,36.227,34.868,33.757,76.794,19.236,25.312,42.96,46.761,19.733,40.005,37.885,41.461,33.609,38.037,31.612,29.625,39.703,33.93,30.722
K00041,46.449,29.819,56.373,71.518,92.008,78.422,65.815,65.607,86.712,116.36,79.526,108.438,98.271,92.892,61.521,91.162,47.89,101.232,63.349,73.824,56.682,43.794,50.776,55.846,55.087,58.615,54.408,39.203,52.448,39.394,47.945,45.956,22.07,19.74,34.569,44.092,85.582,33.887,94.713,53.446,65.905,80.919,93.755,57.769
K00042,216.925,235.102,240.779,219.694,284.712,272.515,244.517,254.014,248.271,207.513,241.802,239.24,233.959,205.535,226.372,214.582,237.664,267.598,225.614,227.263,260.548,257.922,266.67,328.514,232.8,225.469,179.357,259,299.791,236.106,246.836,243.156,233.337,227.348,219.029,247.687,208.687,188.665,157.984,195.611,195.426,185.843,165.706,212.45
K00043,29.107,31.095,58.355,37.3,63.939,86.256,71.164,70.403,50.624,50.925,62.544,56.367,80.987,76.154,57.481,72.763,43.187,47.281,56.748,60.257,67.931,38.674,45.816,110.225,83.689,72.512,57.642,78.736,42.085,64.654,71.94,76.245,40.213,44.993,46.359,50.064,74.05,45.783,59.799,51.264,54.849,58.897,62.729,68.368
K00044,2.584,1.241,2.244,2.537,6.097,2.522,2.316,3.662,2.225,4.283,2.851,3.057,6.572,6.153,7.728,6.349,2.727,2.821,0.916,3.703,1.251,1.222,2.492,3.262,3.142,2.165,2.712,2.532,1.5,2.811,4.1,5.313,2.859,1.328,1.776,2.774,6.005,3.41,5.057,3.782,2.914,7.372,7.015,3.348
K00045,147.681,153.25,108.614,122.745,78.782,53.558,80.161,63.05,86.123,96.314,98.314,78.524,54.259,52.311,97.451,52.143,132.308,86.17,123.424,113.999,120.898,138.309,124.078,56.774,23.391,37.409,33.077,114.41,100.154,131.978,123.57,73.552,103.089,113.243,99.024,102.162,71.125,56.422,23.95,62.524,60.687,50.204,20.878,57.488
K00046,238.419,247.115,365.399,323.721,445.214,451.502,396.785,429.754,337.657,421.907,460.252,423.888,456.3,433.693,309.27,496.301,337.789,414.307,412.367,466.029,320.826,327.505,312.641,638.85,394.656,356.808,348.08,264.451,200.936,247.761,285.828,351.271,226.571,214.033,272.487,244.874,341.139,338.547,385.591,392.344,401.284,491.62,459.027,423.427
K00048,3.209,3.261,7.117,9.297,3.035,5.492,3.954,6.469,5.951,6.714,6.577,5.898,9.216,7.893,5.284,7.801,5.427,19.492,6.008,7.281,4.744,4.235,5.052,3.865,7.304,5.985,5.862,6.366,1.981,5.165,6.945,8.311,6.032,7.806,11.044,18.752,2.16,8.159,6.855,7.019,7.58,14.129,5.545,11.021
K00049,0.046,0.083,0.262,0.062,0.331,0.193,0.095,0,0.055,0.051,0.188,0,0,0.384,0,0.5,0.137,0.099,0,0.231,0.212,0.176,0,0.078,0.399,0,0.418,1.19,0.141,0.09,0.428,0.647,0.305,0.518,0.647,0.074,0.619,0.716,2.192,0.883,3.788,0.641,0.84,1.17
K00050,83.691,76.859,62.044,116.148,85.835,59.483,62.692,79.661,67.126,80.285,54.507,56.52,65.388,45.952,63.877,46.901,80.587,102.492,55.302,55.276,68.319,76.18,104.359,74.009,25.603,34.536,19.571,53.305,33.348,82.492,65.965,55.276,81.614,64.485,67.598,78.444,44.794,24.45,21.287,29.62,36.738,24.313,15.037,32.985
K00052,300.922,322.731,336.506,314.922,390.311,339.878,372.131,342.357,356.544,398.088,367.985,385.436,390.196,409.026,362.07,397.99,359.913,359.343,373.482,399.842,334.026,318.711,318.627,371.855,393.956,401.647,379.469,330.739,324.613,316.911,356.421,387.736,323.069,306.724,315.798,324.845,383.637,394.559,377.303,412.923,408.272,453.739,424.735,442.878
K00053,302.904,304.089,327.282,322.091,351.127,353.585,367.582,335.9,347.366,351.763,343.022,366.09,349.668,373.099,342.513,381.647,322.907,343.543,318.902,338.133,302.132,316.915,304.931,351.745,385.159,398.144,372.872,361.964,379.842,314.273,340.269,381.92,337.902,338.636,359.457,348.272,361.097,423.411,388.87,418.204,406.568,441.591,394.592,424.835
K00054,16.462,24.592,37.165,61.101,66.207,34.273,48.235,31.714,72.911,84.894,52.566,78.823,71.487,79.316,57.985,53.88,42.09,42.803,53.678,57.1,46.224,46.83,35.317,41.29,38.867,49.256,28.47,32.933,13.613,31.936,43.611,36.522,10.965,11.497,15.823,17.826,58.326,24.944,27.959,53.95,58.061,71.305,49.357,63.583
K00055,27.777,36.326,30.309,61.343,34.143,54.05,29.368,41.682,45.983,25.629,43.115,39.677,30.429,30.851,19.772,39.006,29.224,27.484,31.18,32.03,14.024,18.029,18.006,81.464,25.232,32.006,36.689,26.089,4.999,10.427,7.51,23.271,20.671,11.172,26.221,31.465,40.121,30.769,23.192,28.011,21.961,24.338,24.047,29.444
K00057,249.901,265.584,265.575,302.745,295.605,283.754,275.137,280.04,288.777,291.003,257.396,302.891,303.352,331.353,277.515,331.419,284.105,285.724,275.507,293.473,262.936,274.873,272.499,288.454,306.726,253.515,321.588,262.676,277.823,258.901,266.156,291.567,263.734,256.001,260.761,265.317,288.851,275.279,318.598,263.795,282.264,292.605,324.972,279.271
K00058,821.701,831.441,785.938,809.715,863.538,812.574,815.098,796.719,879.803,833.757,823.626,827.897,912.555,973.814,915.289,944.734,826.744,742.972,806.057,889.808,751.432,885.64,813.949,946.241,961.491,883.912,906.122,841.618,785.435,794.658,829.289,909.496,830.956,809.8,803.552,818.088,826.188,910.312,942.012,930.567,903.732,910.807,917.81,914.465
K00059,4085.895,4202.031,3923.026,4094.191,4193.77,4176.014,4059.278,4277.436,3633.509,3979.255,3905.041,3886.036,4455.061,4277.394,4437.424,4586.849,4617.46,4047.71,4492.287,4726.543,4132.784,4261.949,4301.69,5384.413,3649.536,3512.907,3482.165,3939.165,3582.602,4305.412,4033.045,3791.885,4051.858,4135.378,3967.459,4121.115,4124.497,3682.287,3671.526,3793.773,3770.231,3865.658,3555.205,3822.613
K00060,41.602,25.093,45.568,60.811,64.53,79.592,66.166,60.83,51.681,48.515,52.801,54.327,88.575,97.541,64.164,125.546,38.865,94.365,28.144,59.986,25.978,25.741,40.169,81.997,147.169,123.11,166.364,60.777,53.95,30.436,36.631,103.634,56.815,49.258,61.927,60.104,69.225,125.562,155.955,123.576,119.846,131.781,151.791,125.662
K00061,14.448,0.948,1.594,25.692,7.674,9.576,3.78,5.908,5.596,7.116,5.506,8.288,2.704,1.036,0.868,1.305,0.642,32.08,0.697,0.602,1.101,1.206,0.681,2.051,2.457,3.232,5.214,2.047,0.434,0.485,0.791,3.076,2.048,4.061,2.586,1.804,3.435,3.299,2.831,2.667,3.01,2.559,1.941,2.74
K00062,0.256,0.494,0.894,0.713,0.928,0.765,1.442,0.567,1.362,0.891,1.017,1.639,2.362,1.107,1.561,1.04,1.156,1.193,0.765,0.853,2.566,0.716,0.274,1.326,2.489,1.045,2.428,2.361,0.431,1.229,1.942,2.704,1.442,1.66,0.541,1.462,0.989,1.842,2.387,1.364,1.616,2.046,2.77,0.257
K00063,0.062,0.031,0.039,0.085,0,0,0.055,0.039,0.182,0.064,0.143,0,0,0.16,0,0.11,0.076,0.044,0.069,0.101,0.036,0.082,0,0.039,0,0.545,0.575,0.282,0.07,0.154,0.182,0.138,0.117,0.488,0.162,0.09,1.518,0.413,0.071,0.853,0,0.954,0.096,0.426
K00064,83.776,115.767,98.446,131.509,93.985,125.354,92.077,123.654,88.65,102.464,108.704,103.459,146.383,140.394,103.353,140.445,96.874,94.163,109.218,109.517,111.596,71.517,67.329,103.332,95.363,96.725,106.962,115.526,61.272,140.125,125.363,106.715,100.899,120.449,97.669,118.427,105.264,119.574,104.465,106.995,114.961,120.523,100.546,108.188
K00065,381.635,363.824,398.468,418.751,411.865,523.508,404.674,491.986,262.129,317.627,353.257,327.707,458.682,432.476,385.125,499.032,416.29,460.291,415.857,469.33,376.418,333.125,369.484,629.028,382.589,362.852,325.852,383.002,249.275,392.067,371.356,381.044,339.19,369.353,370.777,386.685,255.164,324.248,359.455,335.927,332.056,337.628,321.701,310.461
K00066,235.018,231.004,182.88,179.554,154.518,133.579,166.012,154.833,152.919,147.07,166.651,146.575,107.946,94.083,156.622,81.075,189.255,150.496,192.227,143.157,244.187,213.445,211.398,94.878,82.068,122.541,94.928,222.554,185.43,254.126,239.24,153.935,213.41,227.505,205.897,225.213,202.863,125.358,84.531,107.29,119.716,106.89,87.595,116.865
K00067,463.631,451.494,437.46,391.203,385.441,364.506,424.102,379.686,448.477,427.962,422.334,416.551,387.411,381.573,438.863,368.277,447.167,342.364,433.68,380.49,501.782,471.054,453.443,414.998,423.83,436.139,431.817,421.774,452.625,459.011,459.69,404.211,445.721,476.096,438.13,434.435,405.669,344.261,493.999,358.421,363.941,356.745,459.776,360.227
K00068,36.809,6.333,7.577,10.363,11.972,9.12,4.277,6.647,10.231,6.965,5.936,7.545,9.552,11.398,10.329,8.806,3.331,3.333,2.207,5.396,3.518,4.009,3.18,10.034,5.673,9.434,7.199,6.826,64.616,1.97,7.137,5.684,9.495,3.804,3.193,5.881,17.454,6.817,8.492,6.911,6.161,7.251,4.958,6.25
K00069,0.29,0.594,1.625,1.01,2.991,1.597,2.793,1.913,2.026,2.395,3.075,3.16,2.655,4.529,2.419,5.136,1.431,1.838,1.263,1.518,1.115,0.568,1.322,1.995,3.931,5.487,6.652,2.163,0.825,2.089,2.003,3.832,2.282,1.603,2.9,3.74,1.782,4.795,2.683,3.215,3.553,3.871,5.065,3.475
K00070,0,0.061,0,0,0,0,0.237,0.069,0.081,0,0,0,0,0.201,0.083,0,0,0,0,0,0.127,0,0.058,0,0.144,0,0.997,0.201,0,0.067,0.081,0.13,0,0,0.29,0,0,0.166,0.279,0.803,0,0.933,0,0.343
K00071,0,0.402,0.489,0.166,1.097,0.449,0.45,0.395,0.369,0.164,0.442,0.284,0.356,0.715,0.244,1.414,0.896,0.275,0.641,1.3,0.316,0.261,0.531,1.417,0.977,2.294,2.892,2.369,0.164,0.09,0.356,0.66,1.318,0.394,0.841,1.366,0.628,1.436,0.558,1.656,0.262,0.631,0.315,0.85
K00072,0.304,0.082,0.208,0,1.518,0.664,0.273,0,0,0.101,0,0,0.173,0,0.056,0.066,0.402,0,0.041,0,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.336,0,0,0,0,0,0,0
K00073,10.037,6.937,20.637,9.869,54.234,42.673,26.144,28.751,17.382,17.227,21.114,19.074,28.809,50.654,24.291,34.811,20.265,12.129,12.812,19.073,26.032,24.902,47.745,35.414,44.233,42.378,44.779,25.481,14.383,12.906,17.864,38.836,36.815,14.605,17.882,25.472,29.795,32.224,52.393,32.801,29.727,37.758,52.332,37.405
K00074,307.855,334.312,412.141,283.697,353.982,390.991,398.167,398.887,371.678,366.234,441.611,371.275,453.096,441.852,354.286,424.5,397.529,366.078,466.706,392.288,454.595,327.649,287.126,496.499,600.097,468.666,614.432,447.857,301.848,517.158,516.349,510.912,471.293,475.1,474.913,435.301,369.466,601.488,601.194,563.821,567.64,548.308,604.731,561.721
K00075,253.835,256.778,285.484,264.395,295.219,280.288,284.96,266.259,277.912,286.371,283.972,289.493,283.533,305.239,278.085,292.856,281.894,276.92,292.473,292.45,273.909,265.341,276.484,293.159,316.328,300.638,321.396,259.8,272.716,270.472,285.801,270.611,262.851,272.913,274.134,263.346,288.883,292.064,320.169,285.175,284.801,281.902,335.143,275.819
K00076,34.29,54.3,47.686,37.501,40.712,44.231,50.305,60.368,52.31,68.696,55.399,68.321,58.012,47.865,42.176,40.665,74.791,68.022,95.635,47.384,85.52,49.641,49.136,51.958,43.552,41.441,46.345,45.502,135.898,122.63,79.491,45.655,88.6,110.902,79.936,111.306,51.765,66.867,45.794,64.133,67.311,76.016,47.109,71.44
K00077,483.88,499.74,504.536,468.742,459.019,489.018,464.607,480.253,422.829,408.561,472.333,422.165,395.794,382.276,411.313,403.26,488.059,426.227,474.865,458.425,438.742,459.517,484.29,557.665,462.304,428.213,425.427,491.711,466.181,495.11,479.743,470.863,494.551,487.626,494.101,482.575,427.23,412.64,352.739,446.508,452.782,443.26,416.797,435.611
K00078,36.676,39.583,61.341,61.079,77.301,65.357,68.82,73.484,74.188,93.078,89.799,96.056,111.642,104.641,65.785,99.275,53.136,123.848,74.804,96.711,74.239,54.571,46.449,59.15,57.358,53.722,57.39,39.289,17.379,36.616,41.551,68.713,26.716,29.057,36.158,37.362,79.971,60.362,69.755,84.149,101.5,134.378,111.306,96.86
K00079,4.291,4.629,7.272,5.986,7.849,7.55,11.533,6.74,10.309,12.138,13.599,8.534,13.814,19.046,14.834,17.974,7.025,7.061,5.64,9.554,5.821,4.95,4.737,6.001,13.471,12.881,14.502,9.245,2.74,5.336,7.583,12.333,7.556,6.151,7.266,5.693,13.327,16.835,15.176,17.591,12.011,16.055,9.76,18.367
K00081,0,0.033,0,0,0.046,0,0,0.132,1.115,0.193,0.044,0.182,0.047,0,0,0.054,0,0,0.04,0,0,0.065,0.037,0.042,0.707,0.576,0,0,0,0,0.044,0.283,0.103,0,0.053,0.146,0,0,0.534,0.088,0.169,0,0.977,0.375
K00082,7.807,20.765,11.013,12.823,8.35,5.937,12.86,4.823,11.153,6.842,13.2,13.531,7.388,13.358,27.212,12.847,9.422,5.954,6.362,9.582,6.899,10.151,22.256,10.991,30.717,15.853,28.926,16.017,5.325,7.863,13.771,28.808,24.517,15.33,25.904,9.156,11.868,49.167,22.928,36.045,32.886,32.315,20.937,27.619
K00083,0,0,0,0,0.051,0.129,0.142,0.191,0.073,0.135,0,0.65,0,0.09,0,0,0,0.115,0,0,0,0,0,0,0.435,4.174,3.589,2.368,0.088,0,0.072,0.66,0,0.509,0,0,0.166,0,0.388,0.126,0,0.49,0,1.009
K00084,0,0,0.2,0.08,0.377,0.444,0.463,0.243,0.643,0.329,0.542,0,0.142,0.154,0.256,0.935,0.44,0.892,0.419,0.095,0.427,0,0.417,0.454,0.413,0.505,0.681,0.151,0.094,0.156,0,0.495,0,0.3,0.358,0.085,0,0,0.267,0,0.199,0.233,0.79,0
