KOs,Astragalus sinicus1,Astragalus sinicus2,Astragalus sinicus3,Astragalus sinicus4,Melilotus officinalis1,Melilotus officinalis2,Melilotus officinalis3,Melilotus officinalis4,Vicia villosa1,Vicia villosa2,Vicia villosa3,Vicia villosa4,Pisum sativum1,Pisum sativum2,Pisum sativum3,Pisum sativum4,Trifolium incarnatum1,Trifolium incarnatum2,Trifolium incarnatum3,Trifolium incarnatum4,Medicago sativa1,Medicago sativa2,Medicago sativa3,Medicago sativa4,Fagopyrum tataricum1,Fagopyrum tataricum2,Fagopyrum tataricum3,Fagopyrum tataricum4,Brassica juncea1,Brassica juncea2,Brassica juncea3,Brassica juncea4,Cichorium intybus1,Cichorium intybus2,Cichorium intybus3,Cichorium intybus4,Lolium multiflorum1,Lolium multiflorum2,Lolium multiflorum3,Lolium multiflorum4,Triticum turgidum1,Triticum turgidum2,Triticum turgidum3,Triticum turgidum4
K01562,0.224,0.115,0.384,0.115,0.085,0.342,0.366,0.189,0.051,0.472,0.332,0.282,0.566,0.432,0.458,0.313,0.322,0.205,0.112,0.267,0.059,0.055,0,0.418,2.394,0.867,2.241,1.148,0,0.047,0.319,0.627,1.715,0.752,0.637,0.494,1.058,3.283,3.576,2.613,1.01,2.045,5.438,1.618
K01563,97.585,75.996,92.98,102.593,82.056,144.736,94.233,114.4,66.264,58.371,92.334,73.347,99.163,96.941,76.474,116.798,73.533,83.747,76.764,87.669,80.572,71.218,67.833,129.351,129.374,91.909,96.139,113.164,107.391,69.523,87.85,107.554,76.358,77.066,82.423,66.598,86.108,119.498,91.759,109.633,103.699,113.693,89.828,113.34
K01565,3.632,23.798,7.293,61.225,13.324,5.682,13.391,5.016,19.11,23.405,11.114,11.386,11.389,21.935,32.384,15.964,5.383,3.742,5.448,10.213,4.587,21.736,31.554,7.769,15.101,13.882,14.044,8.903,3.824,6.63,12.385,17.36,12.466,10.727,25.363,8.148,8.226,24.702,13.508,21.653,21.017,23.572,16.564,29.07
K01567,1,1.326,3.31,2.907,1.835,3.401,3.476,2.875,20.714,7.671,6.171,7.251,8.977,8.394,3.909,7.289,2.526,2.042,2.803,3.166,4.948,1.696,1.518,6.341,8.994,7.227,13.663,6.139,1.248,2.234,2.995,6.516,6.406,5.21,4.844,5.224,8.942,7.715,13.615,8.184,6.734,8.8,13.172,7.018
K01568,0.311,0.471,0.582,0.571,0.475,0.737,1.15,0.837,1.047,0.944,0.883,1.239,0.41,1.078,0.757,0.714,0.869,0.518,0.451,0.767,0.43,0.568,0.152,0.718,4.74,4.976,2.482,1.699,0.473,0.628,0.521,3.005,1.563,1.306,1.597,1.994,6.709,4.99,1.49,4.134,2.929,3.519,2.168,3.876
K01569,24.523,3.744,8.71,34.987,7.001,5.048,2.084,3.194,20.95,13.488,11.289,22.009,25.57,12.422,7.322,12.434,4.986,8.235,2.923,8.971,2.43,3.484,1.793,7.01,7.703,9.539,9.249,5.992,1.657,5.972,2.489,7.179,9.932,3.638,7.636,2.391,12.687,6.39,11.697,11.737,11.025,11.395,5.463,9.059
K01571,8.311,13.705,8.32,7.786,13.473,15.033,31.671,11.188,11.041,16.47,28.959,15.245,9.83,12.966,10.044,15.568,12.741,7.812,22.252,13.23,17.92,12.059,11.033,14.59,64.758,52.34,49.947,23.768,12.182,21.09,29.793,40.3,30.332,32.074,36.549,27.272,18.19,52.838,39.172,44.633,44.413,47.919,42.706,47.771
K01572,5.854,9.96,7.972,9.728,7.864,11.349,29.571,10.692,15.184,8.414,18,11.034,6.462,13.908,12.054,23.373,14.456,9.464,10.986,14.069,7.953,8.653,5.318,19.956,55.893,28.049,80.194,42.514,7.752,12.433,20.826,63.977,58.32,23.413,34.42,27.326,24.252,126.498,47.431,100.9,73.822,63.502,39.175,94.488
K01573,0,0,0.366,0,0,0,4.552,0,0,0,0,0,0,0,0,0,0.283,0.268,0.648,0,0.133,0,0,0,0,0,0,0,0,0,0.844,0,0,0,0,0,0,0,0,0.336,0.162,0,0,0
K01574,12.261,13.629,21.205,24.729,26.748,34.256,21.023,35.851,13.679,20.456,23.055,21.091,41.299,36.946,20.981,43.878,17.837,12.225,12.53,27.669,8.774,18.2,19.084,33.404,28.613,27.045,31.398,21.611,7.789,8.57,10.836,30.169,16.043,12.843,16.258,15.915,21.453,38.637,20.08,39.278,31.286,40.532,20.638,31.342
